index,Unnamed 0,version,alive,tagId,success,timestamp,data__tagData__gyro__x,data__tagData__gyro__y,data__tagData__gyro__z,data__tagData__magnetic__x,data__tagData__magnetic__y,data__tagData__magnetic__z,data__tagData__quaternion__x,data__tagData__quaternion__y,data__tagData__quaternion__z,data__tagData__quaternion__w,data__tagData__linearAcceleration__x,data__tagData__linearAcceleration__y,data__tagData__linearAcceleration__z,data__tagData__pressure,data__tagData__maxLinearAcceleration,data__acceleration__x,data__acceleration__y,data__acceleration__z,data__orientation__yaw,data__orientation__roll,data__orientation__pitch,data__metrics__latency,data__metrics__rates__update,data__metrics__rates__success,reference__x,bran
0,0,1,TRUE,26437,TRUE,1609246954,-4.3125,-1.5,-2.625,-10.25,-18.0625,-7.1875,0.06494140625,-0.004455566406,-0.8837890625,0.4633178711,-144,-34,222,97101.75,1282,-253,32,1195,2.175,-0.11,-0.069,63.6,16.619,16.619,0,0
1,1,1,TRUE,26437,TRUE,1609246954,12.4375,-3.875,12.5,-9.875,-17.75,-7.1875,0.06457519531,-0.00390625,-0.8840942383,0.462890625,136,150,-155,97101.75,1272,-253,-170,1255,2.174,-0.109,-0.069,58,16.701,16.702,-30.07518797,0
2,2,1,TRUE,26437,TRUE,1609246954,2.1875,8.4375,16.8125,-10.25,-17.0625,-4.375,0.06378173828,-0.00341796875,-0.8832397461,0.4645385742,-119,-140,-320,97101.75,1291,-227,-76,652,2.173,-0.109,-0.065,86.2,16.521,16.522,-60.15037594,0
3,3,1,TRUE,26437,TRUE,1609246954,14.875,9.8125,-1.3125,-10.5625,-16.6875,-4,0.06506347656,-0.004577636719,-0.8821411133,0.4664306641,-89,386,-650,97101.75,1419,-299,309,1099,2.169,-0.109,-0.065,73.1,16.479,16.479,-90.22556391,0
4,4,1,TRUE,26437,TRUE,1609246954,10.375,6.375,-2.875,-9.75,-16.25,-3.5,0.06292724609,-0.003479003906,-0.8831176758,0.4649047852,23,-512,-68,97101.75,1191,-82,-449,904,2.172,-0.11,-0.067,65.4,16.683,16.684,-120.3007519,0
5,5,1,TRUE,26437,TRUE,1609246954,6.875,14.0625,-8.625,-9.75,-15.5625,-3.25,0.06329345703,-0.002990722656,-0.8848876953,0.4614257813,-86,-233,533,97101.75,1609,-33,-208,707,2.178,-0.11,-0.068,89.5,16.053,16.038,-150.3759398,0
6,6,1,TRUE,26437,TRUE,1609246954,14.25,-19.8125,9.9375,-9.75,-14.75,-3.25,0.06231689453,-0.003601074219,-0.8856201172,0.460144043,17,432,183,97092.25,1526,-87,494,1156,2.183,-0.107,-0.063,66.4,16.188,16.19,-180.4511278,0
7,7,1,TRUE,26437,TRUE,1609246954,11.75,-16.6875,17.8125,-10.875,-15.5625,-2,0.06365966797,-0.002990722656,-0.8881835938,0.4550170898,329,-240,288,97092.25,1292,-367,147,702,2.191,-0.107,-0.063,47.9,16.415,16.417,-210.5263158,0
8,8,1,TRUE,26437,TRUE,1609246954,20.125,-1.125,-8.25,-10.1875,-14.0625,-1.1875,0.06475830078,-0.004272460938,-0.8889770508,0.4533081055,-272,-15,-712,97092.25,1544,-381,49,259,2.198,-0.111,-0.067,66.6,16.579,16.582,-240.6015038,0
9,9,1,TRUE,26437,TRUE,1609246954,4.75,-0.25,-5.0625,-9.75,-12.5625,-0.875,0.06457519531,-0.004089355469,-0.8905029297,0.4503173828,65,-33,296,97092.25,1448,-43,30,1268,2.205,-0.111,-0.065,86.3,16.291,16.293,-270.6766917,0
